ÿRésumé de l'estimation
Coût initial,Coût mensuel,Total 12 months cost,Devise
3.2,9702.96,116438.72,USD
,,* Inclut le coût initial


Estimation détaillée
Hiérarchie du groupe,Région,Description,Service,Frais initiaux,Frais mensuels,First 12 months total,Devise,Récapitulatif de configuration
Initial_Cost_Estimate,USA Est (Virginie du Nord),,VPN Connection,0,2542,30504.00,USD,"Jours ouvrés par mois (30), Nombre d'associations de sous-réseaux (4)"
Initial_Cost_Estimate,USA Est (Virginie du Nord),,Network Address Translation (NAT) Gateway,0,77.85,934.20,USD,Nombre de passerelles NAT (1)
Initial_Cost_Estimate,USA Est (Virginie du Nord),,Amazon EC2 ,0,4029.6,48355.20,USD,"Location (Instances dédiées), Système d'exploitation (Linux), DT Entrant: Not selected (0 To par mois), DT Sortant: Not selected (0 To par mois), DT Intra-région: (0 To par mois), Workload (Consistent, Nombre d'instances: 4), Fréquence d'instantané (Aucun stockage d'instantanés), Activer la surveillance (désactivé), Instance EC2 avancée (m4.4xlarge), Pricing strategy (À la demande)"
Initial_Cost_Estimate,USA Est (Virginie du Nord),,Amazon RDS for MySQL,0,2234.46,26813.52,USD,"Stockage pour chaque instance RDS (SSD à usage général (gp2)), Quantité de stockage (30 Go), Quantité (2), Type d'instance (db.m4.4xlarge), Utilisation (à la demande uniquement) (50 %Utilized/Month), Option de déploiement (Multi-AZ), Modèle de tarification (OnDemand)"
Initial_Cost_Estimate,USA Est (Virginie du Nord),,S3 Standard,3.2,262.4,3152.00,USD,"Stockage standard S3 (10000 Go par mois), Taille moyenne des objets S3 Standard (16 Mo)"
Initial_Cost_Estimate,USA Est (Virginie du Nord),,Data Transfer,0,0,0.00,USD,
Initial_Cost_Estimate,USA Est (Virginie du Nord),,Amazon CloudFront,0,115,1380.00,USD,"Transfert de données en sortie vers Internet (1000 Go par mois), Transfert de données en sortie vers l'origine (1000 Go par mois), Nombre de requêtes (HTTPS) (10000000 par mois)"
Initial_Cost_Estimate,USA Est (Virginie du Nord),,Application Load Balancer,0,441.65000000000003,5299.80,USD,Nombre d'Application Load Balancers (2)



Accusé de réception
"* AWS Pricing Calculator fournit seulement une estimation de vos frais AWS et n'inclut pas toutes les taxes qui peuvent s'appliquer. Les frais réels dépendent de divers facteurs, et notamment de votre utilisation réelle des services AWS."
